XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference,yield_value,incubation_hours,experiment_id,publication_year,reference_id
34,mixture (wheat bran ; sugarcane bagasse),Trichoderma viridae PAJ 01,xylanase,351.74,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,351.74,168.0,34,2018,10
34,mixture (wheat bran ; sugarcane bagasse),Trichoderma viridae PAJ 01,β-xylosidase,0.53,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,0.53,168.0,34,2018,10
35,mixture (wheat bran ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,CMCase,88.5,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,88.5,168.0,35,2018,10
35,mixture (wheat bran ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,β-glucosidase,11.88,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,11.88,168.0,35,2018,10
35,mixture (wheat bran ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,xylanase,569.48,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,569.48,168.0,35,2018,10
35,mixture (wheat bran ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,β-xylosidase,1.52,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,1.52,168.0,35,2018,10
36,mixture (wheat bran ; sugarcane bagasse),Phomopsis stipata SC 04,CMCase,83.43,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,83.43,168.0,36,2018,10
36,mixture (wheat bran ; sugarcane bagasse),Phomopsis stipata SC 04,β-glucosidase,24.76,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,24.76,168.0,36,2018,10
36,mixture (wheat bran ; sugarcane bagasse),Phomopsis stipata SC 04,xylanase,694.33,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,694.33,168.0,36,2018,10
36,mixture (wheat bran ; sugarcane bagasse),Phomopsis stipata SC 04,β-xylosidase,0.24,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,0.24,168.0,36,2018,10
37,mixture (wheat bran ; sugarcane bagasse),Paecilomyces sp. SF 021,CMCase,1.43,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,1.43,168.0,37,2018,10
37,mixture (wheat bran ; sugarcane bagasse),Paecilomyces sp. SF 021,β-glucosidase,33.19,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",None,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,33.19,168.0,37,2018,10
