XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference,yield_value,incubation_hours,experiment_id,publication_year,reference_id
45,mixture (wheat bran ; cottonseed meal),Paecilomyces sp. SF 021,xylanase,8.93,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,8.93,168.0,45,2018,10
46,mixture (oat ; sugarcane bagasse),Paecilomyces sp. SF 021,xylanase,9.66,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,9.66,168.0,46,2018,10
47,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,xylanase,19.25,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,19.25,168.0,47,2018,10
48,mixture (oat ; sugarcane bagasse),Saccharicola sp. EJC 04,xylanase,8.57,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,8.57,168.0,48,2018,10
49,mixture (wheat bran ; cottonseed meal),Phomopsis stipata SC 04,xylanase,21.42,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,21.42,168.0,49,2018,10
50,mixture (oat ; sugarcane bagasse),Phomopsis stipata SC 04,xylanase,83.59,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,83.59,168.0,50,2018,10
51,mixture (wheat bran ; cottonseed meal),Ustilaginoidea sp. CV 04,xylanase,15.87,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,15.87,168.0,51,2018,10
52,mixture (oat ; sugarcane bagasse),Ustilaginoidea sp. CV 04,xylanase,153.92,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,153.92,168.0,52,2018,10
53,mixture (wheat bran ; cottonseed meal),Cladosporium cladosporioides PAJ 03,xylanase,26.97,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,26.97,168.0,53,2018,10
54,mixture (oat ; sugarcane bagasse),Cladosporium cladosporioides PAJ 03,xylanase,48.31,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,48.31,168.0,54,2018,10
55,mixture (wheat bran ; cottonseed meal),Ustilaginoidea sp. XYA 04,xylanase,11.83,U/gds,168,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,11.83,168.0,55,2018,10
56,mixture (oat ; sugarcane bagasse),Ustilaginoidea sp. XYA 04,xylanase,187.09,U/gds,168,"Washed, air-dried (40°C). Sugarcane bagasse: ground (0,59µm).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5 ; MC=70% (w/v) ; Inoculum (5 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1.,2018,10,187.09,168.0,56,2018,10
57,mixture (wheat bran ; cottonseed meal),Botryosphaeria sp. AM 01,xylanase,187.17,U/gds,192,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. β-glucosidase yield value is approximate. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10,187.17,192.0,57,2018,10
58,mixture (wheat bran ; cottonseed meal),Saccharicola sp. EJC 04,xylanase,25.47,U/gds,96,"Washed, air-dried (40°C).","Solution added to reach predefined MC (g/L): 3,5 (NH)4SO4 ; 3 KH2PO4 ; 0,5 MgSO4.7H20 ; 0,5 CaCl2 ; 10 Tween 80.",OFAT,pH=5-6 ; MC=65% (w/v) ; Inoculum (6 mycelial plugs ∅8mm) ; T°=28°C.,Substrate proportions (w/w): 1:1. Enzymes present stability for a wide range of pH and T° from 30 to 70°C.,2018,10,25.47,96.0,58,2018,10
84,mixture (wheat bran ; rice straw ; corn cob residue),Trichoderma G26,xylanase,11.344,U/gds,NA,"Corn cob residue and rice straw: dried, ground (149µm).","for 6gs, 15ml of solution (w/v): 2% (NH4)2SO4 ; 1% K2HPO4 ; 8,9% soybean cake powder ; 1% urea ; 4% (v/v) corn steep liquor.",NA,T°=28°C.,"Substrate proportions (w/w): 2 WB:2RS:1CCR. Incubation duration was most probably 96hrs, as it is the duration wich showed the best results in a subsidiary experiment.",2015,19,11.344,,84,2015,19
87,wheat bran,Aspergillus oryzae P6B2,xylanase,2830.7,U/gds,72,Sterilised (20mn ; 121°C).,Mandels and Stranberg's media added to reach predefined MC.,OFAT,MC=80% ; Inoculum (1E7 spores/gds) ; air flow=20mL/mn ; RH=80% ; T°=28°C.,"Realised in a lab-scale on-line controlled bioreactor (16 columns ∅2,5*20cm in water bath). This study screened 40 fungal strains for xylanase production with wheat bran.",2013,22,2830.7,72.0,87,2013,22
